term,n_query_with,n_query,n_rest_with,n_rest,odds_ratio,p_fisher
RNA degradation,1,6,7,2009,57.2,0.023615173212822835
Tight junction,1,6,28,2009,14.15,0.0834041913802763
Vascular smooth muscle contraction,1,6,28,2009,14.15,0.0834041913802763
Acute myeloid leukemia,0,6,25,2009,0.0,1.0
Alzheimer's disease,0,6,12,2009,0.0,1.0
Adherens junction,0,6,19,2009,0.0,1.0
Adipocytokine signaling pathway,0,6,10,2009,0.0,1.0
Aldosterone-regulated sodium reabsorption,0,6,10,2009,0.0,1.0
B cell receptor signaling pathway,0,6,35,2009,0.0,1.0
Bacterial invasion of epithelial cells,0,6,20,2009,0.0,1.0
Bladder cancer,0,6,22,2009,0.0,1.0
Calcium signaling pathway,0,6,20,2009,0.0,1.0
